Time,Region1_Mean,Region2_Entropy_Mean,Region2_Sync_Mean
80,-0.29907745744402914,0.15203405099266726,0.026478296774319076
81,-0.31797451252196574,0.13940396959132909,0.03571472853468166
82,-0.3647940054628513,0.016357221546652485,-0.024218391958099456
83,-0.32042840328983674,0.05235557376293548,-0.009036414763450582
84,-0.2918858324209418,-0.007032120443861351,0.0005410235675983865
85,-0.36531550593564566,0.015605817137189226,-0.04985484439922821
86,-0.36760585141359464,-0.17798605290190003,-0.09779595215774733
87,-0.3448115007822164,-0.2668359685885907,-0.1308237346854036
88,-0.3063349935009233,-0.07184242430804336,-0.0640887089044833
89,-0.25255833988414383,-0.012447540501560689,0.017497059807147754
90,-0.18237665142041454,-0.14875564070352054,-0.015566146061967523
91,-0.16746651783344216,-0.14373454562301996,0.01939946827176897
92,-0.17845859789098117,-0.2935764393163428,-0.08601751860366201
93,-0.15838454259341544,-0.11430560955677257,-0.011345076075094006
94,-0.1693425739919016,-0.20477242643192922,-0.037057500211915465
95,-0.11758651957903425,-0.17333807278352148,0.029537703818722116
96,-0.13472417553223517,-0.1583917550810063,0.00344203469337927
97,-0.1250864238950257,0.023886542546937374,0.09940005932595582
98,-0.1414290360175102,-0.1451633692255875,0.03170379737845115
99,-0.1459180011166339,-0.11196163017909797,-0.003939815647865918
100,-0.1536626655501805,0.028319078615537528,0.062328206532678544
